,target,location,aircraft_damage,make,model,number_of_engines,engine_type,weather_conditions,phase_of_flight,Year,Month,Day,injuries,pax_onboard,fatality_percentage,survived,amateur_built
24902,Non-Fatal,2587,0,500,139,1.0,0,2,0,1986,1,15,2.0,2.0,0.0,2,0
24903,Non-Fatal,6046,2,500,296,1.0,0,2,9,1990,8,20,0.0,1.0,0.0,1,0
24904,Non-Fatal,5523,0,500,332,1.0,0,2,9,1990,8,20,1.0,1.0,0.0,1,0
24905,Non-Fatal,3483,2,500,333,1.0,0,2,6,1990,8,20,0.0,1.0,0.0,1,0
24906,Non-Fatal,3565,2,500,778,2.0,0,2,4,1990,8,8,0.0,2.0,0.0,2,0
24907,Non-Fatal,6561,2,500,295,1.0,0,2,5,1987,6,12,0.0,2.0,0.0,2,0
24908,Non-Fatal,1415,0,500,115,1.0,0,2,9,1990,8,7,2.0,2.0,0.0,2,0
24909,Non-Fatal,492,2,500,139,1.0,0,2,5,1987,6,12,0.0,2.0,0.0,2,0
24910,Non-Fatal,2379,0,500,135,1.0,0,2,9,1990,8,1,0.0,2.0,0.0,2,0
24911,Non-Fatal,12275,0,500,177,1.0,0,2,5,1984,6,3,1.0,1.0,0.0,1,0
24912,Fatal,5606,0,500,1407,1.0,0,2,0,1984,6,3,2.0,2.0,100.0,0,0
24913,Non-Fatal,8667,2,500,139,1.0,0,2,5,1983,7,3,0.0,1.0,0.0,1,0
24914,Non-Fatal,5132,2,500,139,1.0,0,2,0,1982,7,3,0.0,2.0,0.0,2,0
24915,Non-Fatal,8362,2,500,177,1.0,0,2,6,1987,6,18,0.0,2.0,0.0,2,0
24916,Non-Fatal,8817,2,500,139,1.0,0,2,6,1990,8,1,0.0,2.0,0.0,2,0
24917,Non-Fatal,3662,2,500,297,1.0,0,0,2,1985,1,3,0.0,4.0,0.0,4,0
24918,Non-Fatal,5816,2,500,108,1.0,0,2,2,1986,1,5,0.0,1.0,0.0,1,0
24919,Non-Fatal,7313,2,500,215,1.0,0,2,10,1990,8,1,0.0,1.0,0.0,1,0
24920,Fatal,6493,0,500,471,1.0,0,0,2,1986,1,4,2.0,2.0,100.0,0,0
24921,Non-Fatal,9085,2,500,442,1.0,0,2,5,1985,1,4,0.0,2.0,0.0,2,0
24922,Non-Fatal,11014,2,500,138,1.0,0,2,2,1982,7,3,0.0,1.0,0.0,1,0
24923,Non-Fatal,919,2,500,134,1.0,0,0,2,1986,1,4,0.0,2.0,0.0,2,0
24924,Fatal,696,0,500,134,1.0,0,2,6,1990,8,1,2.0,2.0,100.0,0,0
24925,Non-Fatal,13206,2,500,133,1.0,0,2,5,1986,1,4,0.0,1.0,0.0,1,0
24926,Non-Fatal,3857,2,500,139,1.0,0,2,5,1983,7,3,0.0,2.0,0.0,2,0
24927,Fatal,11473,0,500,294,1.0,0,0,0,1986,1,3,2.0,2.0,100.0,0,0
24928,Non-Fatal,7297,2,500,212,1.0,0,2,6,1987,6,18,0.0,2.0,0.0,2,0
24929,Non-Fatal,13239,2,500,6350,1.0,0,2,5,1987,6,19,0.0,3.0,0.0,3,0
24930,Non-Fatal,4220,2,500,292,1.0,0,2,8,1990,8,1,2.0,2.0,0.0,2,0
24931,Non-Fatal,2282,2,500,137,1.0,0,2,5,1982,7,3,0.0,1.0,0.0,1,0
24932,Non-Fatal,8000,2,500,139,1.0,0,2,5,1982,7,3,0.0,2.0,0.0,2,0
24933,Non-Fatal,12175,2,500,212,1.0,0,2,5,1990,8,2,0.0,4.0,0.0,4,0
24934,Fatal,342,2,500,1413,1.0,0,2,6,1990,8,2,1.0,1.0,100.0,0,0
24935,Non-Fatal,10047,0,500,205,1.0,0,2,9,1984,6,3,2.0,2.0,0.0,2,0
24936,Non-Fatal,365,2,500,210,1.0,0,2,5,1986,1,5,0.0,4.0,0.0,4,0
24937,Non-Fatal,12509,2,500,250,1.0,0,2,10,1990,8,2,0.0,1.0,0.0,1,0
24938,Non-Fatal,12269,2,500,270,1.0,0,2,9,1987,6,17,1.0,3.0,0.0,3,0
24939,Non-Fatal,6353,2,500,743,2.0,0,2,5,1983,12,13,1.0,8.0,0.0,8,0
24940,Fatal,9603,2,500,131,1.0,0,2,6,1985,1,2,2.0,2.0,50.0,1,0
24941,Non-Fatal,8312,2,500,210,1.0,0,2,5,1985,1,2,0.0,5.0,0.0,5,0
24942,Non-Fatal,7073,2,500,462,1.0,0,2,2,1985,1,2,5.0,5.0,0.0,5,0
24943,Non-Fatal,3112,2,500,333,1.0,0,2,9,1990,8,2,0.0,1.0,0.0,1,0
24944,Non-Fatal,8826,2,500,1413,1.0,0,2,9,1987,6,17,1.0,1.0,0.0,1,0
24945,Non-Fatal,11023,0,500,203,1.0,0,2,2,1986,1,5,0.0,3.0,0.0,3,0
24946,Non-Fatal,12730,2,500,138,1.0,0,2,5,1990,8,2,0.0,1.0,0.0,1,0
24947,Non-Fatal,10364,2,500,131,1.0,0,2,9,1987,6,17,1.0,1.0,0.0,1,0
24948,Fatal,8835,2,500,134,1.0,0,2,9,1982,7,3,2.0,2.0,100.0,0,0
24949,Non-Fatal,322,2,500,138,1.0,0,2,6,1990,7,31,0.0,2.0,0.0,2,0
24950,Non-Fatal,13077,2,500,139,1.0,0,2,0,1987,6,20,2.0,2.0,0.0,2,0
24951,Fatal,7431,0,500,286,1.0,0,2,0,1987,6,20,2.0,2.0,100.0,0,0
24952,Non-Fatal,3044,2,500,292,1.0,0,2,1,1982,7,4,0.0,4.0,0.0,4,0
24953,Non-Fatal,3513,2,500,177,1.0,0,2,9,1990,7,28,0.0,2.0,0.0,2,0
24954,Non-Fatal,10189,2,500,143,1.0,0,2,9,1985,1,5,0.0,1.0,0.0,1,0
24955,Non-Fatal,5612,0,500,239,1.0,0,2,8,1982,7,4,1.0,2.0,0.0,2,0
24956,Non-Fatal,10116,2,500,1413,1.0,0,2,9,1983,7,2,0.0,1.0,0.0,1,0
24957,Non-Fatal,3564,2,500,297,1.0,0,2,9,1985,1,5,0.0,1.0,0.0,1,0
24958,Non-Fatal,12541,2,500,115,1.0,0,2,6,1983,7,2,2.0,2.0,0.0,2,0
24959,Non-Fatal,10782,2,500,6346,1.0,0,2,9,1987,6,20,3.0,3.0,0.0,3,0
24960,Non-Fatal,2127,2,500,134,1.0,0,2,9,1987,6,21,2.0,2.0,0.0,2,0
24961,Non-Fatal,418,2,500,137,1.0,0,2,9,1987,6,21,0.0,2.0,0.0,2,0
24962,Non-Fatal,12478,2,500,2309,1.0,0,2,5,1990,7,27,0.0,1.0,0.0,1,0
24963,Non-Fatal,2649,2,500,622,2.0,0,2,5,1985,1,6,0.0,1.0,0.0,1,0
24964,Non-Fatal,5522,2,500,426,1.0,0,2,2,1990,7,27,0.0,3.0,0.0,3,0
24965,Fatal,6091,0,500,5219,1.0,0,2,6,1986,1,1,5.0,5.0,20.0,4,0
24966,Fatal,11764,0,500,210,1.0,0,2,2,1986,1,1,1.0,1.0,100.0,0,0
24967,Non-Fatal,1221,2,500,137,1.0,0,2,2,1986,1,2,0.0,2.0,0.0,2,0
24968,Non-Fatal,10010,2,500,6150,1.0,0,2,0,1983,12,13,1.0,1.0,0.0,1,0
24969,Non-Fatal,11547,2,500,6148,1.0,0,1,5,1982,7,4,0.0,1.0,0.0,1,0
24970,Non-Fatal,4159,2,500,115,1.0,0,2,9,1982,7,3,0.0,1.0,0.0,1,0
24971,Non-Fatal,9885,2,500,139,1.0,0,2,2,1987,6,19,0.0,2.0,0.0,2,0
24972,Non-Fatal,7441,2,500,215,1.0,0,2,5,1987,6,19,1.0,1.0,0.0,1,0
24973,Non-Fatal,9352,2,500,115,1.0,0,2,1,1990,7,30,0.0,2.0,0.0,2,0
24974,Non-Fatal,13362,2,500,138,1.0,0,2,8,1986,1,3,0.0,1.0,0.0,1,0
24975,Non-Fatal,12038,2,500,139,1.0,0,2,2,1983,7,3,0.0,2.0,0.0,2,0
24976,Non-Fatal,4016,2,500,175,1.0,0,2,2,1990,7,30,0.0,5.0,0.0,5,0
24977,Non-Fatal,6377,2,500,673,2.0,0,2,9,1990,7,30,0.0,3.0,0.0,3,0
24978,Fatal,12161,0,500,6166,2.0,0,2,0,1986,1,3,2.0,2.0,100.0,0,0
24979,Non-Fatal,9317,2,500,177,1.0,0,2,1,1984,6,3,0.0,3.0,0.0,3,0
24980,Non-Fatal,13244,2,500,622,2.0,0,2,5,1983,7,2,0.0,1.0,0.0,1,0
24981,Non-Fatal,6446,2,500,138,1.0,0,2,5,1982,7,4,0.0,1.0,0.0,1,0
24982,Non-Fatal,7873,2,500,199,1.0,0,2,2,1990,7,29,1.0,4.0,0.0,4,0
24983,Non-Fatal,789,2,500,239,1.0,0,2,2,1987,6,20,0.0,2.0,0.0,2,0
24984,Non-Fatal,13498,2,500,234,1.0,0,2,5,1990,7,29,0.0,2.0,0.0,2,0
24985,Non-Fatal,3438,2,500,137,1.0,0,2,9,1987,6,20,0.0,1.0,0.0,1,0
24986,Fatal,3664,2,500,206,1.0,0,2,9,1987,6,20,2.0,2.0,50.0,1,0
24987,Non-Fatal,1723,2,500,222,1.0,0,2,5,1985,1,4,0.0,3.0,0.0,3,0
24988,Non-Fatal,9688,0,500,138,1.0,0,2,5,1984,6,3,2.0,2.0,0.0,2,0
24989,Non-Fatal,2345,2,500,215,1.0,0,2,5,1982,7,3,0.0,4.0,0.0,4,0
24990,Non-Fatal,5676,2,500,202,1.0,0,2,2,1987,5,31,2.0,2.0,0.0,2,0
24991,Non-Fatal,12255,0,500,239,1.0,0,2,4,1987,6,17,1.0,1.0,0.0,1,0
24992,Non-Fatal,8124,2,500,176,1.0,0,2,9,1987,6,16,0.0,2.0,0.0,2,0
24993,Non-Fatal,3555,0,500,384,1.0,0,2,9,1982,6,30,2.0,2.0,0.0,2,0
24994,Non-Fatal,3856,2,500,126,1.0,0,2,2,1982,6,30,0.0,1.0,0.0,1,0
24995,Non-Fatal,6674,2,500,686,2.0,3,2,0,1982,6,30,0.0,4.0,0.0,4,0
24996,Non-Fatal,3283,2,500,250,1.0,0,2,5,1983,7,4,0.0,3.0,0.0,3,0
24997,Fatal,6769,0,500,137,1.0,0,2,6,1990,8,6,2.0,2.0,100.0,0,0
